time,PS,T10M,T2M,TO3,TOX,TQI,TQL,TQV,TS,U10M,U2M,U50M,V10M,V2M,V50M
2025-01-01 00:00:00,78473.37,290.50247,290.16275,258.21573,0.005535196,0.0,0.0,9.559245,289.65125,1.6317161,0.9388863,2.2074919,0.6487597,0.39217627,0.9440341
2025-01-01 01:00:00,78501.87,289.3369,289.07477,258.61703,0.0055443537,0.0,0.0,9.2509775,287.92404,0.116342306,0.08302361,0.108453155,0.61971474,0.41523656,0.76508737
2025-01-01 02:00:00,78524.48,288.8592,288.05832,258.76663,0.0055470234,0.0,0.0,9.089795,286.5719,-1.0575192,-0.6130803,-1.260162,0.17933518,0.116746664,0.24358934
2025-01-01 03:00:00,78523.086,288.7853,287.78113,258.79993,0.005547859,0.0,0.0,9.188293,285.54456,-1.1167824,-0.6905422,-1.273403,-0.17438614,-0.10470465,-0.2196728
2025-01-01 04:00:00,78510.6,288.6545,287.67505,258.7384,0.005546825,0.0,0.0,9.204968,284.7085,-1.046703,-0.67751074,-1.1797019,-0.2674042,-0.17446521,-0.30685294
2025-01-01 05:00:00,78488.734,288.55334,287.34137,258.7081,0.0055461335,0.0,0.0,9.059614,283.94458,-1.0785046,-0.6846055,-1.2792244,-0.37534413,-0.23452199,-0.46718603
2025-01-01 06:00:00,78477.79,288.54486,287.19342,258.39954,0.005539217,0.0,0.0,8.801826,283.2521,-1.1054873,-0.70923746,-1.2898073,-0.46633792,-0.2869516,-0.5820996
2025-01-01 07:00:00,78481.195,288.42267,286.89062,257.65414,0.0055229543,0.0,0.0,8.500638,282.63107,-1.1604102,-0.73769826,-1.322057,-0.61197317,-0.37649405,-0.7609447
2025-01-01 08:00:00,78492.93,288.20978,286.70544,256.99786,0.0055088135,0.0,0.0,8.152773,282.04495,-1.205733,-0.7794185,-1.2861239,-0.7575809,-0.4770199,-0.93947136
2025-01-01 09:00:00,78526.14,287.74872,285.98438,257.1014,0.0055111633,0.0,0.0,7.912447,281.4875,-1.3625062,-0.84963703,-1.4701233,-0.8522048,-0.52536356,-1.0626725
2025-01-01 10:00:00,78581.805,287.18173,285.31348,257.8949,0.0055392957,0.0,0.0,8.088128,281.8003,-1.4043231,-0.847385,-1.491466,-1.0658818,-0.6385243,-1.3453074
2025-01-01 11:00:00,78636.2,288.65808,288.84985,259.32892,0.00557032,0.0,0.0,8.347647,290.53934,-1.4672424,-1.1843493,-1.0164328,-1.339737,-1.0891107,-1.4427569
2025-01-01 12:00:00,78659.49,290.75323,291.70483,260.32294,0.005591267,0.0,0.0,8.417201,297.50098,1.926007,1.6290121,1.4379624,-1.7901862,-1.513459,-1.8972392
2025-01-01 13:00:00,78673.42,292.07404,293.67355,260.96368,0.0056053875,0.0,0.0,8.597701,302.28497,3.842164,3.203601,2.7438936,-1.6206884,-1.3527644,-1.7242262
2025-01-01 14:00:00,78688.625,293.0949,295.20752,261.53918,0.005617929,0.0,0.0,8.926387,305.8074,5.209482,4.3046503,3.6874166,-1.3727098,-1.1360544,-1.4915648
2025-01-01 15:00:00,78692.47,293.7995,296.27106,261.89532,0.005625619,0.0,0.0,9.355244,308.29486,6.1398478,5.0466456,4.322792,-1.1203318,-0.92218935,-1.2578075
2025-01-01 16:00:00,78686.734,294.2547,296.96863,262.58862,0.0056404173,0.0,0.0,9.571164,309.81168,6.7352085,5.520191,4.7436805,-0.66590077,-0.5475069,-0.82374084
2025-01-01 17:00:00,78655.17,294.49442,297.3001,263.15115,0.0056523313,0.0,0.0,9.637547,310.56262,6.811226,5.586959,4.750335,-0.115450606,-0.09643754,-0.29584104
2025-01-01 18:00:00,78619.42,294.58984,297.3492,263.5555,0.005661078,0.0,0.0,9.625616,310.317,6.712244,5.5084157,4.6291547,0.3209473,0.2614534,0.13907617
2025-01-01 19:00:00,78581.414,294.55453,297.12244,263.52335,0.005660573,0.0,0.0,9.468741,309.10907,6.4320745,5.2793264,4.377999,0.7248613,0.5927737,0.54340297
2025-01-01 20:00:00,78541.78,294.3293,296.56793,263.32657,0.005656122,0.0,0.0,9.223294,306.81558,6.107147,5.003394,4.1468525,1.1150211,0.91180146,0.9431278
2025-01-01 21:00:00,78514.24,293.76624,295.5604,263.39648,0.0056577534,0.0,0.0,8.996567,303.41937,5.679384,4.6328564,3.9125226,1.52747,1.2450988,1.3813145
2025-01-01 22:00:00,78499.195,292.81323,294.04883,263.47083,0.0056591164,0.0,0.0,8.9968195,299.0443,4.930626,3.9966655,3.4583523,1.9221051,1.557812,1.8272848
2025-01-01 23:00:00,78506.516,291.19385,291.77588,263.81604,0.005666402,0.0,0.0,8.943262,293.58453,3.893796,3.1067972,2.9118898,2.110137,1.6847272,2.0859525
2025-01-02 00:00:00,78528.164,288.57745,288.60944,264.44397,0.0056688637,0.0,0.0,8.901208,288.49582,2.101543,1.5793519,1.9703186,1.6562845,1.2465743,1.7598058
2025-01-02 01:00:00,78554.9,287.05014,287.01318,264.30054,0.0056660855,0.0,0.0,8.993475,286.83002,-0.089324,-0.039881825,-0.35008025,1.0425293,0.6841221,1.6971313
2025-01-02 02:00:00,78573.05,287.00458,286.4077,264.02405,0.0056595784,0.0,0.0,9.195551,285.53946,-1.0127615,-0.5310589,-1.3234524,0.6806128,0.3793205,0.9466172
2025-01-02 03:00:00,78566.42,287.49945,286.69818,263.7564,0.0056540743,0.0,0.0,9.394691,284.6546,-1.0205253,-0.63988674,-1.2186114,0.2550438,0.1502572,0.37784553
2025-01-02 04:00:00,78539.46,287.90253,287.0703,263.27435,0.005643961,0.0,0.0,9.391852,283.93118,-0.780884,-0.5237571,-0.860728,0.11703977,0.07024974,0.18160975
2025-01-02 05:00:00,78502.016,288.05417,287.24054,262.68253,0.005631363,0.0038423538,1.9930303e-06,9.288661,283.23907,-0.5272995,-0.3626566,-0.6137763,-0.01889646,-0.017948806,-0.0061131716
2025-01-02 06:00:00,78471.15,288.09604,287.13678,262.40976,0.005625257,0.007724762,2.065301e-05,9.107751,282.97443,-0.32920825,-0.22242284,-0.38660777,-0.14168352,-0.09652282,-0.16166246
